;Sample No.;Order;K;TSum;KM;TM;LM;MS Real;MS Ideal;Tr_RSW;Mp_RSW;Ts_RSW;Ys_RSW;Tr_R;Mp_R;Ts_R;Ys_R;Tr_ISW;Mp_ISW;Ts_ISW;Ys_ISW;Tr_I;Mp_I;Ts_I;Ys_I
13;14.0;2.0;5.942023970520623;23.410973230406753;5.93657737433442;1.3690676220231335;0.034455451662194214;1.02037571373552;1.100992392086404;0.2703242935325502;0.00020972763670545902;2.3556831293550804;1.0013946446258313;0.077235512437406;0.07064478984940425;0.7337373681553571;1.0005789202784234;0.28423344585033916;;2.344925928265298;1.0004521074472867;0.07105836146254836;0.07432171785586816;0.6750544338942094;1.0012978989156116
14;15.0;2.0;3.8670952565638426;15.360031807406333;3.8635677185488353;6.695004623599969;0.08196352712641808;1.0074869427801705;1.302727532110514;0.34468974919326084;;3.4468974919326087;0.9970577785404093;0.04924139300520252;0.10902555623065369;0.6401381090676328;1.0017826974024657;0.39753345456505756;;3.5778010910855182;0.9984043693970491;0.11358098701877647;0.13993934817820897;0.5111144415844942;1.0006610879435591
15;16.0;2.0;6.160565501211492;15.55440091830463;6.154938796989592;4.838068318766704;0.07535260340940031;1.0248245622984762;1.271336742871334;0.33667974450691057;;3.1984575728156504;0.9945329843149296;0.0420849677943275;0.10421265334708263;0.6312745169149125;1.0036112838829025;0.3671529288792603;;3.356826778324666;0.9982340112746283;0.15735125523291116;0.13109126935537474;0.5245041841097038;1.000791123315861
16;17.0;2.0;4.513102918406591;25.49127754019552;4.508985148841296;4.116056231076764;0.05289279502706634;1.0075485780068423;1.1786340043959798;0.3226218207376631;;3.0649072970077995;0.9944522757219737;0.04032772759171486;0.09920326353580111;0.6452436414674377;1.004065818347456;0.3383545863975141;;3.238536755519063;0.997821621078285;0.09667273897185431;0.11697995504770975;0.5800364338311259;1.0011257203472859
17;18.0;2.0;4.406339075948405;20.575929256938032;4.402318131569301;12.724895697474004;0.16843081256877035;1.0176730855872942;1.3942625433177986;0.6058185988535141;;5.88509496029128;0.9974499125182392;0.08654551408217302;0.11163705273301172;1.0385461689860762;1.0014742047078076;0.6941456269071854;;6.148146981177928;0.9985067345049503;0.2974909829640021;0.15465033732799438;0.7933092879040056;1.0005792008259533
18;19.0;2.0;2.627371216422099;15.791336778167691;2.6249694812951456;1.3226914389631519;0.023598858360214692;1.0093311791276476;1.0677456823055005;0.2703282329102012;0.0002753045651473496;2.317099139230296;1.0014385574202178;0.07723663797399079;0.06754701318401102;0.7337480607529124;1.000535919590885;0.2906258240486727;;2.3250065923893817;1.000856303019795;0.072656456012307;0.06967259616847277;0.6902363321169165;1.00101873338491
19;20.0;2.0;8.792538145665528;6.751112830357732;8.784515595612781;7.703673156572242;0.09953184757186584;1.0150673053183656;1.3919127604778;0.36093464546007026;;3.5062222701835397;0.9974625026555525;0.051562092508200805;0.11163534628078975;0.6187451100984096;1.0014641234677688;0.4132691568995982;;3.6603839611107265;0.9985086359234815;0.17711535295915243;0.15447782383969955;0.4723076078910731;1.00057811879571
20;21.0;3.0;5.416196606697532;48.20351845735304;5.406305292448156;17.459429997675397;5.705098701904326;1.1995937559559495;1.2283158181105196;15.293650199816913;;87.0561626758809;1.0005856380852725;8.23504283901342;0.006675515418691713;57.64529987309395;1.0018651632887277;16.535641869287083;1.637775754392834e-05;90.94603028107895;1.0014590576750337;9.645791090416244;0.00411466738391586;62.00865700981871;1.0012872225767513
21;22.0;3.0;9.924941246849595;19.816522448636974;9.909256169540434;9.454480972300756;4.175588641480502;1.1481582592048978;1.2128426988459085;10.020719765078454;;65.59016573505897;0.999777622676301;5.465871071944482;0.0001411544573928225;51.92577518347258;1.0009716196471106;11.20273901356851;;65.49293577163128;0.996551584784345;6.893993239117807;;53.42844760316301;0.9996357579030763
22;23.0;3.0;8.851783481827363;35.764902855115515;8.791390907433032;23.37357864203625;10.031790063024907;1.1866746920778912;1.214755224619675;26.662863163044488;;150.45472784860817;0.9960705295321126;13.3314047203966;;116.17366970631323;0.9999802090766375;27.381564116306222;;157.970562209459;0.9973297168453916;16.85019330233904;;126.3764497675428;1.0000039239071723
