Time,Gascooler_Valve_System.HPValve.vleFluidB.d,Gascooler_Valve_System.HPValve.vleFluidB.h,Gascooler_Valve_System.HPValve.vleFluidB.p,Gascooler_Valve_System.HPValve.vleFluidB.s,Gascooler_Valve_System.HPValve.vleFluidB.T,Gascooler_Valve_System.HPValve.vleFluidB.M,Gascooler_Valve_System.HPValve.vleFluidB.q,Gascooler_Valve_System.HPValve.vleFluidB.cp,Gascooler_Valve_System.HPValve.vleFluidB.cv,Gascooler_Valve_System.HPValve.vleFluidA.d,Gascooler_Valve_System.HPValve.vleFluidA.h,Gascooler_Valve_System.HPValve.vleFluidA.p,Gascooler_Valve_System.HPValve.vleFluidA.s,Gascooler_Valve_System.HPValve.vleFluidA.T,Gascooler_Valve_System.HPValve.vleFluidA.M,Gascooler_Valve_System.HPValve.vleFluidA.q,Gascooler_Valve_System.HPValve.vleFluidA.cp,Gascooler_Valve_System.HPValve.vleFluidA.cv,Gascooler_Valve_System.HPValve.vleFluidA.w,Gascooler_Valve_System.HPValve.vleFluidA.kappa,Gascooler_Valve_System.HPValve.vleFluidA.beta,Gascooler_Valve_System.HPValve.vleFluidB.beta,Gascooler_Valve_System.HPValve.vleFluidB.kappa,Gascooler_Valve_System.HPValve.vleFluidB.w,Gascooler_Valve_System.HPValve.vleFluidB.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidB.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidB.gamma,Gascooler_Valve_System.HPValve.vleFluidA.drhodh_pxi,Gascooler_Valve_System.HPValve.vleFluidA.drhodp_hxi,Gascooler_Valve_System.HPValve.vleFluidA.gamma
0.44,304.289,350000,6.20175e+006,1503.26,296.554,0.0440098,0.622958,6104,4247.7,631.29,299621,7.7e+006,1324.62,304.617,0.0440098,1,10441,1133.17,230.722,2.74184e-007,0.072725,0.0589686,3.17203e-007,124.537,-0.002177,7.16309e-005,1.497,-0.00439712,2.57507e-005,9.21405
0.46,302.121,350000,6.1714e+006,1503.59,296.342,0.0440098,0.622459,5956.84,4248.41,619.269,302335,7.7e+006,1333.53,304.859,0.0440098,1,12038.1,1153.88,222.638,3.39875e-007,0.0866859,0.0578159,3.09391e-007,124.865,-0.0021564,7.12758e-005,1.45737,-0.00445932,2.73753e-005,10.4327
0.48,300.456,350000,6.14799e+006,1503.86,296.178,0.0440098,0.622105,5848.53,4249.23,606.843,305104,7.7e+006,1342.61,305.072,0.0440098,1,14090.7,1177.3,214.78,4.27547e-007,0.104797,0.0569715,3.03661e-007,125.115,-0.00214062,7.10067e-005,1.42821,-0.00451329,2.91151e-005,11.9687
0.5,299.298,350000,6.13166e+006,1504.04,296.063,0.0440098,0.621873,5775.48,4249.88,594.035,307928,7.7e+006,1351.86,305.257,0.0440098,1,16750.2,1203.89,207.185,5.45634e-007,0.12848,0.056404,2.99807e-007,125.289,-0.00212965,7.08203e-005,1.40855,-0.00455648,3.09665e-005,13.9133
0.52,298.633,350000,6.12226e+006,1504.15,295.997,0.0440098,0.621746,5734.35,4250.29,580.883,310804,7.7e+006,1361.28,305.413,0.0440098,1,20217.1,1234.06,199.916,7.05664e-007,0.159618,0.0560852,2.97641e-007,125.389,-0.00212336,7.07137e-005,1.39749,-0.00458619,3.29162e-005,16.3825
0.54,298.464,350000,6.11987e+006,1504.17,295.98,0.0440098,0.621714,5724,4250.4,567.432,313732,7.7e+006,1370.86,305.545,0.0440098,1,24765.3,1268.05,193.054,9.23496e-007,0.200745,0.0560051,2.97096e-007,125.414,-0.00212177,7.06867e-005,1.39471,-0.00459956,3.49372e-005,19.5302
0.56,298.873,350000,6.12566e+006,1504.11,296.021,0.0440098,0.621791,5749.16,4250.14,553.736,316710,7.7e+006,1380.61,305.653,0.0440098,1,30772.7,1305.82,186.717,1.2207e-006,0.255275,0.0562,2.9842e-007,125.353,-0.00212564,7.07522e-005,1.40148,-0.00459353,3.69789e-005,23.5657
0.58,299.901,350000,6.14018e+006,1503.95,296.123,0.0440098,0.621992,5813.33,4249.53,539.867,319738,7.7e+006,1390.51,305.741,0.0440098,1,38697.6,1346.57,181.07,1.6236e-006,0.327233,0.0566978,3.01803e-007,125.199,-0.00213537,7.09173e-005,1.41873,-0.00456521,3.89568e-005,28.738
0.6,301.575,350000,6.16373e+006,1503.68,296.288,0.0440098,0.62234,5920.9,4248.66,525.919,322809,7.7e+006,1400.56,305.812,0.0440098,1,48651.4,1387.65,176.308,2.14464e-006,0.417517,0.0575353,3.07487e-007,124.947,-0.00215122,7.11874e-005,1.44769,-0.00451333,4.07522e-005,35.0604
0.62,303.867,350000,6.19584e+006,1503.32,296.513,0.0440098,0.622857,6074.75,4247.81,511.962,325926,7.7e+006,1410.75,305.869,0.0440098,1,59342.8,1425.26,172.573,2.7308e-006,0.514519,0.058739,3.15647e-007,124.601,-0.00217298,7.15612e-005,1.48912,-0.00443886,4.22483e-005,41.6364
